country,passengers_total,freight_total_tonnes,mail_total_tonnes,route,month_year_dt
Hong Kong,2444,51.721,0.119,Brisbane-Hong Kong,1985-06-01
Solomon Islands,813,12.168,0.0,Brisbane-Honiara,1985-06-01
Usa,739,10.179,0.154,Brisbane-Honolulu,1985-06-01
Uk,3483,14.795,3.121,Brisbane-London,1985-06-01
Usa,115,0.47,0.0,Brisbane-Los Angeles,1985-06-01
Philippines,1552,40.126,0.172,Brisbane-Manila,1985-06-01
Oman,9,0.0,0.0,Brisbane-Muscat,1985-06-01
Fiji,1501,7.254,0.0,Brisbane-Nadi,1985-06-01
New Caledonia,345,2.394,0.0,Brisbane-Noumea,1985-06-01
Tahiti,7,0.0,0.0,Brisbane-Papeete,1985-06-01
Papua New Guinea,2963,64.366,4.608,Brisbane-Port Moresby,1985-06-01
Vanuatu,350,3.011,0.0,Brisbane-Port Vila,1985-06-01
Italy,136,0.0,0.09,Brisbane-Rome,1985-06-01
Usa,894,10.908,1.391,Brisbane-San Francisco,1985-06-01
Singapore,3550,209.333,0.179,Brisbane-Singapore,1985-06-01
Fiji,145,3.389,0.0,Brisbane-Suva,1985-06-01
Japan,704,10.332,0.303,Brisbane-Tokyo,1985-06-01
Canada,428,34.157,0.391,Brisbane-Vancouver,1985-06-01
New Zealand,2053,26.925,0.745,Brisbane-Wellington,1985-06-01
Usa,956,2.855,0.0,Cairns-Honolulu,1985-06-01
Usa,220,0.0,0.0,Cairns-Los Angeles,1985-06-01
Papua New Guinea,1326,26.205,0.0,Cairns-Port Moresby,1985-06-01
Usa,1002,0.151,0.0,Cairns-San Francisco,1985-06-01
Canada,317,0.008,0.0,Cairns-Vancouver,1985-06-01
New Zealand,500,4.162,0.036,Darwin-Auckland,1985-06-01
Bahrain,2,0.0,0.0,Darwin-Bahrain,1985-06-01
Brunei,541,12.99,0.0,Darwin-Bandar Seri Begawan,1985-06-01
India,1,0.0,0.0,Darwin-Bombay,1985-06-01
Indonesia,1429,1.958,0.0,Darwin-Denpasar,1985-06-01
Germany,29,0.048,0.014,Darwin-Frankfurt,1985-06-01
Indonesia,167,0.147,0.0,Darwin-Jakarta,1985-06-01
Uk,300,0.0,0.074,Darwin-London,1985-06-01
Italy,55,0.0,0.004,Darwin-Rome,1985-06-01
Singapore,1297,52.848,0.029,Darwin-Singapore,1985-06-01
New Zealand,1216,10.54,0.202,Hobart-Christchurch,1985-06-01
United Arab Emirates,95,44.7,0.0,Melbourne-Abu Dhabi,1985-06-01
Netherlands,1099,43.116,3.036,Melbourne-Amsterdam,1985-06-01
Greece,4044,47.854,3.155,Melbourne-Athens,1985-06-01
New Zealand,11172,644.066,7.267,Melbourne-Auckland,1985-06-01
Bahrain,68,60.451,1.247,Melbourne-Bahrain,1985-06-01
Thailand,4411,194.379,0.39,Melbourne-Bangkok,1985-06-01
